Task 1, final results on bootstrapped resampling of test data

Download ID	T1a Mean sensitivity	T1b Mean sensitivity	T1c Mean sensitivity	Final score

ef76e0193ef8372113a26b9be97368d3	1.17	1.31	1.58	1.35
d0b226d5cb7acf1960c3c366bba827f6	1.00	1.25	1.58	1.28
2b33b8ba98ec223548eab4e64ae88dc4	0.93	1.36	1.51	1.27
8e3126f2523ecc6acbc87bff0e3d49c4	0.97	1.34	1.40	1.24
f0edf80fda6fbba3e06b24eb9b3df1fc	1.08	1.25	1.38	1.24
9b5ae2264450b107c5ee952ec5a72eeb	1.04	1.20	1.39	1.21
3ac232f02b893cb57a4487c4a5330ea4	0.90	1.24	1.43	1.19
4b27bd0bf34dc747b0211623c2eb65a6	0.75	1.15	1.55	1.15
2781ba05576561b182e2809ee9768ccb	0.84	1.12	1.47	1.14
c671036b3aafa55d0dde37175e7fca96	0.83	1.06	1.52	1.14
bf8f0121ad3f7f3b397310b9a576f81f	0.72	0.99	1.45	1.05
77617854db97705991f2e10fab7f09c2	0.90	1.02	1.21	1.04
4d79702fce261f0344b32c4a089f7882	0.99	0.88	1.20	1.02
92bbb197efdf5ea61ddf64bdf55e13a6	0.76	1.02	1.26	1.01
ec776e4d8991ab9a3772a2422481f27f	0.58	1.10	1.35	1.01
c6ac5e1d49084ec5e373b12bc38583c6	0.71	0.94	1.26	0.97
0d36b6b56a1d3605b3f7ee304faa9993	0.70	0.94	1.25	0.96
572de68bda39fccd166160a0d0e7e599	0.81	0.82	1.10	0.91
32074f9c7d8ac756ef5c77d4ae50d849	0.65	0.74	1.07	0.82
17364b8e5ccb947dd0bf56c9c2c90f5e	0.57	0.83	0.98	0.79
769fb06eceb15b7282dc9122b72add00	0.69	0.78	0.82	0.76
7481dec4886cc40f2bd34a1ae8d89d5f	0.61	0.60	0.71	0.64
c17cbd4bddbc415337fdc68752dd9436	0.48	0.48	0.48	0.48
f2d2a194dd9c97589d2b1c56d07db28f	0.37	0.41	0.56	0.45
ddb0fceec6f0e804b4ac5ed3fa65da4d	0.36	0.42	0.53	0.44
656708047c26984c5bc03e7450ebd90b	0.36	0.42	0.49	0.42
64e5a8252b98e4769a7b37ec946922cf	0.27	0.34	0.39	0.33
ddfbe24b943c4889ead6ca1d62011ff2	0.18	0.24	0.28	0.23
90edf490e4c28d1b3b38256fe617e3cd	0.00	0.12	0.56	0.23
65c983aba5d5c6b5e0bc765df792768e	0.18	0.21	0.28	0.22
05dd608fccd3b3597517c08e71ad5aee	0.18	0.22	0.23	0.21
81325a4d88994b5966af400b0f97a4eb	0.10	0.14	0.16	0.14
ddbfd582abf308ccbf1ee9c0501ebd13	0.08	0.11	0.12	0.10
c602ab8a2dd48089d1e371b6d83c613e	0.06	0.06	0.06	0.06
a3c34f54cf332e8b3e77b0f000aab967	0.03	0.03	0.03	0.03
da6f41f17af96a64ebc21ce87a4b0799	0.01	0.01	0.01	0.01
e55a770983977c02fd5113c244a5addc	0.00	0.00	0.00	0.00
e38fab690e3ff7a2f39198ca3eeb0b71	0.00	0.00	0.00	0.00
d62220e5b3f14aa9a3c723f0c94faa84	0.00	0.00	0.00	0.00
ffa56cf7cc759edb75dd225a9d75b8ef	0.00	0.00	0.00	0.00
67b82ccc8b29b330f180dcdf82f72fcd	0.00	0.00	0.00	0.00
9f0dd861b210f17dc03340243e708ddf	0.00	0.00	0.00	0.00
b4e3aa99276f8c677d4d7dea4dc1f6b5	0.00	0.00	0.00	0.00
7f10d1b1fdb510968190a701441fdee2	0.00	0.00	0.00	0.00
71cac307edab1362183242d1dd37f5da	0.00	0.00	0.00	0.00
55fdd5d6670559625e697f8b43b4df25	0.00	0.00	0.00	0.00
416dcd50fda8f5aebfd2a28211258203	0.00	0.00	0.00	0.00
82a93157f65f7f213f8df789392a2bc2	0.00	0.00	0.00	0.00
a1d33a3898c587ae85476d7711dd8652	0.00	0.00	0.00	0.00
7f9df23b03c5556ca06989aca584f5e7	0.00	0.00	0.00	0.00
5b11eeaa3abd2fbe27a8782c7ac95282	0.00	0.00	0.00	0.00
dc222863b2fa5486325c403e99551f30	0.00	0.00	0.00	0.00
472841ed288953007171fea8c977d711	0.00	0.00	0.00	0.00
3c5362554b598ca99371d8f9520b61fa	0.00	0.00	0.00	0.00
27fb957db3aca93091b2dfde22bb0d48	0.00	0.00	0.00	0.00
6ea66b3f045715c0711d40503f69ee37	0.00	0.00	0.00	0.00
e1fffae6ba2eb5db5b3a752019ee7a25	0.00	0.00	0.00	0.00
c979a7d590b53d5fd6e1b57a8c7028fe	0.00	0.00	0.00	0.00
c9cd5a32ed1c924e696d49c4739eb042	0.00	0.00	0.00	0.00
40a5e5f32863b93a9749759e46e8287b	0.00	0.00	0.00	0.00
b10608c680dce2e340b7d91cc773e5db	0.00	0.00	0.00	0.00
0446ffe9133982b27ae939c97c303713	0.00	0.00	0.00	0.00
71076e0b39f6ee18cb6415e4d6e79d11	0.00	0.00	0.00	0.00
7c9ca4fea7553d210f421665b7fd1fb2	0.00	0.00	0.00	0.00
