Task 3, final results on bootstrapped resampling of test data

Download ID	T3 NPV	T3 TN rate	T3 Sensitivity	T3 FP rate

7c9ca4fea7553d210f421665b7fd1fb2	0.41	0.91	0.24	7.60
4d79702fce261f0344b32c4a089f7882	0.42	0.47	0.52	3.30
da6f41f17af96a64ebc21ce87a4b0799	0.17	0.35	0.21	2.65
769fb06eceb15b7282dc9122b72add00	0.11	0.21	0.14	12.83
ddfbe24b943c4889ead6ca1d62011ff2	0.10	0.20	0.15	7.04
8e3126f2523ecc6acbc87bff0e3d49c4	0.15	0.16	0.20	2.53
55fdd5d6670559625e697f8b43b4df25	0.10	0.10	0.12	5.40
5b11eeaa3abd2fbe27a8782c7ac95282	0.06	0.07	0.07	5.29
7f10d1b1fdb510968190a701441fdee2	0.07	0.07	0.06	4.35
ddbfd582abf308ccbf1ee9c0501ebd13	0.06	0.06	0.09	14.76
65c983aba5d5c6b5e0bc765df792768e	0.02	0.05	0.01	1.76
ffa56cf7cc759edb75dd225a9d75b8ef	0.04	0.04	0.03	11.39
c64787fd5316495ea2093174649aa421	0.03	0.03	0.03	6.69
17364b8e5ccb947dd0bf56c9c2c90f5e	0.03	0.03	0.03	3.31
d62220e5b3f14aa9a3c723f0c94faa84	0.02	0.02	0.01	17.73
2b33b8ba98ec223548eab4e64ae88dc4	0.01	0.02	0.01	5.96
f0edf80fda6fbba3e06b24eb9b3df1fc	0.01	0.02	0.01	5.50
472841ed288953007171fea8c977d711	0.01	0.02	0.00	15.24
3ac232f02b893cb57a4487c4a5330ea4	0.01	0.01	0.01	12.55
c979a7d590b53d5fd6e1b57a8c7028fe	0.01	0.01	0.01	47.80
64e5a8252b98e4769a7b37ec946922cf	0.01	0.01	0.01	8.39
a1d33a3898c587ae85476d7711dd8652	0.01	0.01	0.01	50.85
dc222863b2fa5486325c403e99551f30	0.01	0.01	0.01	6.18
6ea66b3f045715c0711d40503f69ee37	0.00	0.00	0.00	27.94
32074f9c7d8ac756ef5c77d4ae50d849	0.00	0.00	0.00	26.84
c6ac5e1d49084ec5e373b12bc38583c6	0.00	0.00	0.00	39.46
7f9df23b03c5556ca06989aca584f5e7	0.00	0.00	0.00	20.58
92bbb197efdf5ea61ddf64bdf55e13a6	0.00	0.00	0.00	39.58
6055901d71789196e727117c7e70426d	0.00	0.00	0.00	34.28
9b5ae2264450b107c5ee952ec5a72eeb	0.00	0.00	0.00	39.76
c9cd5a32ed1c924e696d49c4739eb042	0.00	0.00	0.00	20.27
c8b7e5bf28378975589f3748fbc9819f	0.00	0.00	0.00	46.12
656708047c26984c5bc03e7450ebd90b	0.00	0.00	0.00	11.66
0446ffe9133982b27ae939c97c303713	0.00	0.00	0.00	13.97
90edf490e4c28d1b3b38256fe617e3cd	0.00	0.00	0.00	19.00
ef76e0193ef8372113a26b9be97368d3	0.00	0.00	0.00	9.11
c602ab8a2dd48089d1e371b6d83c613e	0.00	0.00	0.00	7.14
ec776e4d8991ab9a3772a2422481f27f	0.00	0.00	0.00	5.32
b4e3aa99276f8c677d4d7dea4dc1f6b5	0.00	0.00	0.00	4.35
71076e0b39f6ee18cb6415e4d6e79d11	0.00	0.00	0.00	4.34
416dcd50fda8f5aebfd2a28211258203	0.00	0.00	0.00	3.60
e38fab690e3ff7a2f39198ca3eeb0b71	0.00	0.00	0.00	3.74
b10608c680dce2e340b7d91cc773e5db	0.00	0.00	0.00	3.00
ddb0fceec6f0e804b4ac5ed3fa65da4d	0.00	0.00	0.00	2.20
a3c34f54cf332e8b3e77b0f000aab967	0.00	0.00	0.00	2.16
67b82ccc8b29b330f180dcdf82f72fcd	0.00	0.00	0.00	1.57
05dd608fccd3b3597517c08e71ad5aee	0.00	0.00	0.00	1.79
bf8f0121ad3f7f3b397310b9a576f81f	0.00	0.00	0.00	1.43
d0b226d5cb7acf1960c3c366bba827f6	0.00	0.00	0.00	1.32
81325a4d88994b5966af400b0f97a4eb	0.00	0.00	0.00	1.26
572de68bda39fccd166160a0d0e7e599	0.00	0.00	0.00	1.47
7481dec4886cc40f2bd34a1ae8d89d5f	0.00	0.00	0.00	1.12
0d36b6b56a1d3605b3f7ee304faa9993	0.00	0.00	0.00	0.88
c671036b3aafa55d0dde37175e7fca96	0.00	0.00	0.00	0.90
f2d2a194dd9c97589d2b1c56d07db28f	0.00	0.00	0.00	1.05
c17cbd4bddbc415337fdc68752dd9436	0.00	0.00	0.00	0.51
